category_name,category_description,category_kind,ingredient_name,unit,min_stock
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Loaded Fries Box,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Burger Box,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Milkshake Top Cap's,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Milkshake Bottom Cup,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,French Fry Box,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Sandwich Box,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Dip Cup (Mayones / Tomato Sauce ),pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Mojtos Top Cap's,pcs,0
Additional Supplies,Imported from Dip & Dash legacy monthly sheet,additional,Mojtos Bottom Cup,pcs,0
